mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_centroid,spectral_bandwidth,zero_crossing_rate,label
-374.3122,98.751816,42.332832,19.020136,-4.1277947,-21.010685,-33.532753,-38.972656,-37.94074,-31.103857,-20.589354,-8.427825,2.9626293,0.28662616,0.19750147,0.41427124,0.18099645,0.014352553,0.0053403755,0.0047048847,0.01002686,0.082502015,0.2377848,0.20165004,0.27275243,944.0727254168512,1244.5860286596806,0.023716194170533642,normal
-381.7382,97.09307,44.30755,21.253124,-1.7433009,-19.058146,-32.298557,-38.91177,-39.166492,-33.54121,-23.975868,-12.278515,-0.74266785,0.3307518,0.19456632,0.3048282,0.13143392,0.011589584,0.0048688925,0.0045471746,0.011033088,0.105221204,0.30919367,0.23787904,0.281184,897.6109382057309,1147.42472077809,0.02312595163863109,normal
-372.22446,100.25842,42.913803,19.05932,-4.063862,-20.919031,-33.439106,-38.955036,-37.998386,-31.23602,-20.778694,-8.603782,2.8312624,0.3287795,0.2126683,0.38597062,0.16776693,0.01381879,0.005403287,0.004914205,0.01078203,0.08442919,0.23972864,0.2000237,0.27117127,950.2492132852459,1264.0200707799575,0.023646520627900233,normal
-367.84537,98.85663,40.859875,18.28002,-4.993965,-21.956867,-34.372,-39.589718,-38.19997,-30.816078,-19.74551,-7.1272182,4.552357,0.40793267,0.24792233,0.39369383,0.17429364,0.014324588,0.005354641,0.0044990177,0.008319607,0.060993593,0.17505518,0.1535579,0.25612137,999.780124041979,1353.7999687183626,0.023954103828306265,normal
-372.12457,99.48403,42.109108,18.457314,-4.5509267,-21.297272,-33.62626,-38.812973,-37.552326,-30.549349,-19.914543,-7.6896935,3.6774297,0.28981015,0.20068726,0.42588365,0.18603083,0.014793961,0.0054741055,0.004786058,0.009797224,0.07623368,0.21790785,0.19513692,0.28213742,955.7758306385882,1274.1449743351195,0.02380569351798144,normal
-381.27606,97.63494,44.394695,21.01402,-1.7825189,-19.00794,-32.235645,-38.844902,-39.110634,-33.473038,-23.896778,-12.222951,-0.7101327,0.32964313,0.19356027,0.30379254,0.13060123,0.011387225,0.0047821007,0.004526499,0.011196779,0.10613373,0.31065428,0.23922233,0.28050396,897.7675696655169,1150.1354683008487,0.023125385187064966,normal
-371.71597,99.6804,41.94128,18.411173,-4.684355,-21.490122,-33.842278,-39.017212,-37.630917,-30.470621,-19.702473,-7.4064946,3.9551778,0.28753355,0.20340145,0.43628737,0.19027214,0.015061637,0.0055188374,0.004799092,0.009778661,0.07605697,0.21737832,0.19208598,0.27444962,958.3490627717084,1275.6419072736749,0.02384761093387471,normal
-373.79227,99.920425,43.278305,19.44097,-3.7830842,-20.65458,-33.290108,-38.99797,-38.259,-31.71691,-21.384562,-9.278273,2.1858826,0.3385946,0.21371706,0.36716333,0.15814868,0.013213917,0.0052271564,0.004740265,0.010524785,0.08647098,0.24866599,0.20582217,0.27426234,940.7749952721333,1244.0580111158345,0.023546825152262182,normal
-381.27606,97.63494,44.394695,21.01402,-1.7825189,-19.00794,-32.235645,-38.844902,-39.110634,-33.473038,-23.896778,-12.222951,-0.7101327,0.32964313,0.19356027,0.30379254,0.13060123,0.011387225,0.0047821007,0.004526499,0.011196779,0.10613373,0.31065428,0.23922233,0.28050396,897.7675696655169,1150.1354683008487,0.023125385187064966,normal
-363.8868,98.889015,39.93218,17.785604,-5.493644,-22.359385,-34.66496,-39.6345,-37.996628,-30.39411,-19.126608,-6.341478,5.4121375,0.45197695,0.2657036,0.38789502,0.16850482,0.014159082,0.005415089,0.0044781216,0.007368808,0.047277056,0.1342833,0.13358276,0.27131376,1027.6891146340176,1412.1643129401766,0.02406286252900232,normal
-384.7051,97.263435,45.194252,21.677505,-1.2082381,-18.499968,-31.909182,-38.848244,-39.49023,-34.240192,-24.921152,-13.365416,-1.8567151,0.32136908,0.18478943,0.282444,0.12065388,0.010524325,0.0045190863,0.004372602,0.011499311,0.11501849,0.33896106,0.25233018,0.27941966,875.3999259755213,1102.3687805620007,0.022954883265661252,normal
-374.15167,99.3088,42.8273,19.771135,-2.9623916,-19.564709,-32.143925,-38.053585,-37.770344,-31.77188,-21.975565,-10.247419,1.1014719,0.34060052,0.19164829,0.32419872,0.13976106,0.012377814,0.0052886745,0.0049453015,0.010697235,0.08414042,0.24148081,0.2268007,0.34385058,931.0936457101337,1244.395608573236,0.023353665168213456,normal
-385.01935,97.0885,45.082954,21.762728,-0.99458176,-18.285782,-31.744865,-38.774044,-39.503246,-34.351753,-25.119848,-13.644186,-2.1568127,0.32519946,0.18369603,0.27483872,0.11661002,0.010395986,0.0045403475,0.0043774443,0.011401504,0.11481383,0.33957377,0.25641897,0.28874207,873.1912004561493,1100.4838128775605,0.022904469076276104,normal
-395.49023,92.4734,45.556473,23.075602,0.3040263,-17.664742,-31.740973,-39.332977,-40.55985,-35.81589,-26.816193,-15.396213,-3.8130624,0.2430561,0.15487587,0.29822758,0.13088717,0.0106305545,0.0041038007,0.0037640568,0.010753172,0.13348246,0.40466085,0.27051917,0.2328283,831.7239075951513,982.0521443832089,0.022792311666183295,normal
-397.22202,91.435074,45.824074,24.037981,1.4224514,-16.673944,-31.078135,-39.29278,-41.22023,-37.075706,-28.521965,-17.304506,-5.597571,0.31406543,0.16489297,0.2177639,0.09672242,0.008800066,0.0038751296,0.0037256323,0.010810843,0.13393575,0.41599357,0.28199536,0.25639695,824.5196039806711,968.769532501556,0.022505687173723896,normal
-391.81845,96.3735,46.5385,22.95904,0.23271105,-17.082335,-30.535587,-37.942616,-39.255962,-34.786972,-26.226862,-15.29467,-4.084249,0.22823927,0.13294303,0.271549,0.117272966,0.010534382,0.0046619154,0.0047303177,0.013357359,0.13645521,0.40235594,0.30754045,0.3122043,819.4395000714713,998.1762787523007,0.02261501232598608,normal
-391.75342,95.992516,46.361866,23.048717,0.42781636,-16.756393,-30.145826,-37.615326,-39.13183,-34.880802,-26.492817,-15.653942,-4.4605417,0.22749622,0.13020535,0.24941942,0.085279725,0.008328837,0.004546212,0.004990546,0.01679865,0.16740704,0.3961984,0.28883687,0.3429899,819.2486269629962,1003.8379384329537,0.02254420588022042,normal
-384.6482,97.87852,45.113018,21.81381,-0.56184584,-17.317549,-30.327225,-37.28649,-38.34025,-33.70875,-25.061775,-14.068328,-2.8713098,0.2719064,0.14499724,0.25124317,0.08582662,0.008604397,0.004742571,0.0051242975,0.015598849,0.14337882,0.33860266,0.27742878,0.376825,856.9419106548598,1100.208795257333,0.022732267800174014,normal
